_kp_producao,dataFusao,ordenacao,_kp_fichaTecnica,caixa,_kf_macho,processo,recurso,areia,peso,qtd_machos,qtd_machosPor,figuras,qtd_replicas,qtd_op,qtd_realizada,qtd_pendente,Qtd. Moldes,Tempo de Ciclo (por molde),Tempo Total (minutos),not_before_date,deadline
145757,8/21/2025,11,945,1,90,Pep Set,Carrossel,Silica,  22 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/15/2025,8/19/2025
145757,8/21/2025,11,945,2,91,Pep Set,Carrossel,Silica,  16 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/15/2025,8/19/2025
145757,8/21/2025,11,945,3,92,Pep Set,Carrossel,Silica,  9 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/15/2025,8/19/2025
145757,8/21/2025,11,945,4,93,Pep Set,Carrossel,Silica,  5 ,  1 ,peça,1,2,20,0,  20 ,  20 ,  1 ,  25 ,8/15/2025,8/19/2025
145996,8/21/2025,12,1629,1,980,Pep Set,Carrossel,Silica,  17 ,  1 ,peça,1,1,4,0,  4 ,  4 ,  1 ,  5 ,8/15/2025,8/19/2025
145999,8/21/2025,12,1799,1,925,Pep Set,Chão,Silica,  125 ,  1 ,peça,1,1,2,0,  2 ,  2 ,  15 ,  30 ,8/15/2025,8/19/2025
146000,8/21/2025,12,1725,1,921,Pep Set,Chão,Silica,  95 ,  1 ,peça,1,1,2,0,  2 ,  2 ,  15 ,  30 ,8/15/2025,8/19/2025
146004,8/20/2025,13,2512,1,1520,Pep Set,Chão,Cromita,  8 ,  1 ,peça,1,1,4,0,  4 ,  4 ,  15 ,  60 ,8/18/2025,8/19/2025
146004,8/20/2025,13,2512,2,1521,Pep Set,Chão,Cromita,  2 ,  1 ,peça,1,1,4,0,  4 ,  4 ,  15 ,  60 ,8/18/2025,8/19/2025
146152,8/21/2025,13,264,22,2906,Cold Box Gasado,Cold Box Pequena,Silica,  8 ,  1 ,Molde,2,1,238,0,  17 ,  9 ,  3 ,  21 ,8/15/2025,8/19/2025
146228,8/21/2025,14,604,24,2908,Cold Box Gasado,Cold Box Pequena,Silica,  10 ,  1 ,Molde,2,1,180,0,  15 ,  8 ,  3 ,  19 ,8/15/2025,8/19/2025
145480,8/21/2025,15,5170,1,2931,Pep Set,Chão,Silica,  30 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  15 ,  120 ,8/15/2025,8/19/2025
145480,8/21/2025,15,5170,2,2932,Pep Set,Carrossel,Silica,  5 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  1 ,  10 ,8/15/2025,8/19/2025
146104,8/21/2025,15,5171,1,2929,Pep Set,Chão,Silica,  28 ,  1 ,peça,1,1,2,0,  2 ,  2 ,  15 ,  30 ,8/15/2025,8/19/2025
146104,8/21/2025,15,5171,2,2930,Pep Set,Carrossel,Silica,,  1 ,peça,1,1,2,0,  2 ,  2 ,  1 ,  3 ,8/15/2025,8/19/2025
145631,8/21/2025,16,4689,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/15/2025,8/19/2025
145631,8/21/2025,16,4689,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/15/2025,8/19/2025
145631,8/21/2025,16,4689,20,2629,Cold Box Soprado,Sopradora,Silica,  2 ,  1 ,peça,3,1,8,0,  6 ,  2 ,  1 ,  3 ,8/15/2025,8/19/2025
145650,8/21/2025,16,4690,1,113,Cold Box Gasado,Cold Box 4,Silica,  21 ,  1 ,peça,1,1,8,0,  8 ,  8 ,  3 ,  20 ,8/15/2025,8/19/2025
145650,8/21/2025,16,4690,2,114,Pep Set,Carrossel,Silica,  3 ,  1 ,peça,2,1,8,0,  8 ,  4 ,  1 ,  5 ,8/15/2025,8/19/2025
145650,8/21/2025,16,4690,20,2629,Cold Box Soprado,Sopradora,Silica,"1,728","  0,75 ",peça,3,1,8,0,6,  2 ,  1 ,  3 ,8/15/2025,8/19/2025
145278,8/21/2025,17,944,1,99,Pep Set,Carrossel,Silica,  9 ,  1 ,peça,1,1,16,0,  16 ,  16 ,  1 ,  20 ,8/15/2025,8/19/2025
145278,8/21/2025,17,944,6,840,Cold Box Soprado,Sopradora,Silica,"1,56","  1,00 ",peça,4,1,16,0,16,  4 ,  1 ,  6 ,8/15/2025,8/19/2025
